"Statistic Label","Census Year","County","Intercensal Period","UNIT","VALUE"
"Annual Estimated Net Migration per 1000 of Average Population","2022","Ireland","1951 - 1956","Number","-13.4"
"Annual Estimated Net Migration per 1000 of Average Population","2022","Ireland","1956 - 1961","Number","-14.8"
"Annual Estimated Net Migration per 1000 of Average Population","2022","Ireland","1961 - 1966","Number","-5.7"
"Annual Estimated Net Migration per 1000 of Average Population","2022","Ireland","1966 - 1971","Number","-3.7"
"Annual Estimated Net Migration per 1000 of Average Population","2022","Ireland","1971 - 1979","Number","4.3"
"Annual Estimated Net Migration per 1000 of Average Population","2022","Ireland","1979 - 1981","Number","-0.7"
"Annual Estimated Net Migration per 1000 of Average Population","2022","Ireland","1981 - 1986","Number","-4.1"
"Annual Estimated Net Migration per 1000 of Average Population","2022","Ireland","1986 - 1991","Number","-7.6"
"Annual Estimated Net Migration per 1000 of Average Population","2022","Ireland","1991 - 1996","Number","0.5"
"Annual Estimated Net Migration per 1000 of Average Population","2022","Ireland","1996 - 2002","Number","6.8"
"Annual Estimated Net Migration per 1000 of Average Population","2022","Ireland","2002 - 2006","Number","11.7"
"Annual Estimated Net Migration per 1000 of Average Population","2022","Ireland","2006 - 2011","Number","5.5"
"Annual Estimated Net Migration per 1000 of Average Population","2022","Ireland","2011 - 2016","Number","-1.1"
"Annual Estimated Net Migration per 1000 of Average Population","2022","Ireland","2016 - 2022","Number","7.5"
"Annual Estimated Net Migration per 1000 of Average Population","2022","Co.Carlow","1951 - 1956","Number","-12.9"
"Annual Estimated Net Migration per 1000 of Average Population","2022","Co.Carlow","1956 - 1961","Number","-16.1"
"Annual Estimated Net Migration per 1000 of Average Population","2022","Co.Carlow","1961 - 1966","Number","-12.2"
"Annual Estimated Net Migration per 1000 of Average Population","2022","Co.Carlow","1966 - 1971","Number","-8.9"
"Annual Estimated Net Migration per 1000 of Average Population","2022","Co.Carlow","1971 - 1979","Number","1.8"
"Annual Estimated Net Migration per 1000 of Average Population","2022","Co.Carlow","1979 - 1981","Number","-0.6"
"Annual Estimated Net Migration per 1000 of Average Population","2022","Co.Carlow","1981 - 1986","Number","-6.9"
"Annual Estimated Net Migration per 1000 of Average Population","2022","Co.Carlow","1986 - 1991","Number","-9.1"
"Annual Estimated Net Migration per 1000 of Average Population","2022","Co.Carlow","1991 - 1996","Number","-2.4"
"Annual Estimated Net Migration per 1000 of Average Population","2022","Co.Carlow","1996 - 2002","Number","10.6"
"Annual Estimated Net Migration per 1000 of Average Population","2022","Co.Carlow","2002 - 2006","Number","12.5"
