"Statistic Label","Census Year","Province","Intercensal period","UNIT","VALUE"
"Population","2022","State","1926 - 1936","Number","2968420"
"Population","2022","State","1936 - 1946","Number","2955107"
"Population","2022","State","1946 - 1951","Number","2960593"
"Population","2022","State","1951 - 1956","Number","2898264"
"Population","2022","State","1956 - 1961","Number","2818341"
"Population","2022","State","1961 - 1966","Number","2884002"
"Population","2022","State","1966 - 1971","Number","2978248"
"Population","2022","State","1971 - 1979","Number","3368217"
"Population","2022","State","1979 - 1981","Number","3443405"
"Population","2022","State","1981 - 1986","Number","3540643"
"Population","2022","State","1986 - 1991","Number","3525719"
"Population","2022","State","1991 - 1996","Number","3626087"
"Population","2022","State","1996 - 2002","Number","3917203"
"Population","2022","State","2002 - 2006","Number","4239848"
"Population","2022","State","2006 - 2011","Number","4588252"
"Population","2022","State","2011 - 2016","Number","4761865"
"Population","2022","State","2016 - 2022","Number","5149139"
"Population","2022","Connacht","1926 - 1936","Number","525468"
"Population","2022","Connacht","1936 - 1946","Number","492797"
"Population","2022","Connacht","1946 - 1951","Number","471895"
"Population","2022","Connacht","1951 - 1956","Number","446221"
"Population","2022","Connacht","1956 - 1961","Number","419465"
"Population","2022","Connacht","1961 - 1966","Number","401950"
"Population","2022","Connacht","1966 - 1971","Number","390902"
"Population","2022","Connacht","1971 - 1979","Number","418500"
"Population","2022","Connacht","1979 - 1981","Number","424410"
"Population","2022","Connacht","1981 - 1986","Number","431409"
"Population","2022","Connacht","1986 - 1991","Number","423031"
"Population","2022","Connacht","1991 - 1996","Number","433231"
"Population","2022","Connacht","1996 - 2002","Number","464296"
"Population","2022","Connacht","2002 - 2006","Number","504121"
"Population","2022","Connacht","2006 - 2011","Number","542547"
"Population","2022","Connacht","2011 - 2016","Number","550688"
"Population","2022","Connacht","2016 - 2022","Number","591363"
"Population","2022","Leinster","1926 - 1936","Number","1220411"
"Population","2022","Leinster","1936 - 1946","Number","1281117"
"Population","2022","Leinster","1946 - 1951","Number","1336576"
"Population","2022","Leinster","1951 - 1956","Number","1338942"
"Population","2022","Leinster","1956 - 1961","Number","1332149"
"Population","2022","Leinster","1961 - 1966","Number","1414415"
"Population","2022","Leinster","1966 - 1971","Number","1498140"
"Population","2022","Leinster","1971 - 1979","Number","1743861"
"Population","2022","Leinster","1979 - 1981","Number","1790521"
"Population","2022","Leinster","1981 - 1986","Number","1852649"
"Population","2022","Leinster","1986 - 1991","Number","1860949"
"Population","2022","Leinster","1991 - 1996","Number","1924702"
"Population","2022","Leinster","1996 - 2002","Number","2105579"
"Population","2022","Leinster","2002 - 2006","Number","2295123"
"Population","2022","Leinster","2006 - 2011","Number","2504814"
"Population","2022","Leinster","2011 - 2016","Number","2634403"
"Population","2022","Leinster","2016 - 2022","Number","2870354"
"Population","2022","Munster","1926 - 1936","Number","942272"
"Population","2022","Munster","1936 - 1946","Number","917306"
"Population","2022","Munster","1946 - 1951","Number","898870"
