"Statistic Label","Quarter","State","UNIT","VALUE"
"Marriages Registered","1960Q1","State","Number","2987"
"Marriages Registered","1960Q2","State","Number","3501"
"Marriages Registered","1960Q3","State","Number","5900"
"Marriages Registered","1960Q4","State","Number","3106"
"Marriages Registered","1961Q1","State","Number","2179"
"Marriages Registered","1961Q2","State","Number","3959"
"Marriages Registered","1961Q3","State","Number","5722"
"Marriages Registered","1961Q4","State","Number","3280"
"Marriages Registered","1962Q1","State","Number","2732"
"Marriages Registered","1962Q2","State","Number","3385"
"Marriages Registered","1962Q3","State","Number","6157"
"Marriages Registered","1962Q4","State","Number","3135"
"Marriages Registered","1963Q1","State","Number","2743"
"Marriages Registered","1963Q2","State","Number","3342"
"Marriages Registered","1963Q3","State","Number","5816"
"Marriages Registered","1963Q4","State","Number","3397"
"Marriages Registered","1964Q1","State","Number","2446"
"Marriages Registered","1964Q2","State","Number","4063"
"Marriages Registered","1964Q3","State","Number","6019"
"Marriages Registered","1964Q4","State","Number","3413"
"Marriages Registered","1965Q1","State","Number","3446"
"Marriages Registered","1965Q2","State","Number","3489"
"Marriages Registered","1965Q3","State","Number","6274"
"Marriages Registered","1965Q4","State","Number","3455"
"Marriages Registered","1966Q1","State","Number","3410"
"Marriages Registered","1966Q2","State","Number","3349"
"Marriages Registered","1966Q3","State","Number","6359"
"Marriages Registered","1966Q4","State","Number","3609"
"Marriages Registered","1967Q1","State","Number","3229"
"Marriages Registered","1967Q2","State","Number","3935"
"Marriages Registered","1967Q3","State","Number","6514"
"Marriages Registered","1967Q4","State","Number","3927"
"Marriages Registered","1968Q1","State","Number","3826"
"Marriages Registered","1968Q2","State","Number","3904"
"Marriages Registered","1968Q3","State","Number","6958"
"Marriages Registered","1968Q4","State","Number","4104"
"Marriages Registered","1969Q1","State","Number","4261"
"Marriages Registered","1969Q2","State","Number","4121"
"Marriages Registered","1969Q3","State","Number","7397"
"Marriages Registered","1969Q4","State","Number","4084"
"Marriages Registered","1970Q1","State","Number","3739"
"Marriages Registered","1970Q2","State","Number","4938"
"Marriages Registered","1970Q3","State","Number","7557"
"Marriages Registered","1970Q4","State","Number","4544"
"Marriages Registered","1971Q1","State","Number","4463"
"Marriages Registered","1971Q2","State","Number","4967"
"Marriages Registered","1971Q3","State","Number","7708"
"Marriages Registered","1971Q4","State","Number","4876"
"Marriages Registered","1972Q1","State","Number","4763"
"Marriages Registered","1972Q2","State","Number","5006"
"Marriages Registered","1972Q3","State","Number","7626"
"Marriages Registered","1972Q4","State","Number","4907"
"Marriages Registered","1973Q1","State","Number","5088"
"Marriages Registered","1973Q2","State","Number","5006"
"Marriages Registered","1973Q3","State","Number","7793"
"Marriages Registered","1973Q4","State","Number","4929"
"Marriages Registered","1974Q1","State","Number","5013"
"Marriages Registered","1974Q2","State","Number","4788"
"Marriages Registered","1974Q3","State","Number","7870"
"Marriages Registered","1974Q4","State","Number","5162"
"Marriages Registered","1975Q1","State","Number","4414"
"Marriages Registered","1975Q2","State","Number","4584"
"Marriages Registered","1975Q3","State","Number","7285"
"Marriages Registered","1975Q4","State","Number","4997"
"Marriages Registered","1976Q1","State","Number","4248"
